"activity_id" "subject_id" "mean"
"sitting" 20 -0.639930771868791
"sitting" 21 -0.646017901904583
"sitting" 22 -0.640597914078914
"sitting" 23 -0.632484146755501
"sitting" 24 -0.637957886503114
"sitting" 25 -0.626636372375728
"sitting" 26 -0.637452682469081
"sitting" 27 -0.638179130162868
"sitting" 28 -0.650240242162375
"sitting" 29 -0.639872725383092
"sitting" 30 -0.646619496620551
"standing" 1 -0.645965051074161
"standing" 2 -0.647424789141436
"standing" 3 -0.643263869743237
"standing" 4 -0.626824657789309
"standing" 5 -0.638542753439883
"standing" 6 -0.638450214241584
"standing" 7 -0.635992094486953
"standing" 8 -0.639897166179821
"standing" 9 -0.618821537531601
"standing" 10 -0.629253160586122
"standing" 11 -0.640201203412343
"standing" 12 -0.63369010626409
"standing" 13 -0.639463722621354
"standing" 14 -0.644164577841082
"standing" 15 -0.644379273812568
"standing" 16 -0.644356212162637
"standing" 17 -0.627883524309929
"standing" 18 -0.648374467923916
"standing" 19 -0.650245278868483
"standing" 20 -0.635560362416637
"standing" 21 -0.630635453342216
"standing" 22 -0.636454993012462
"standing" 23 -0.623512001970839
"standing" 24 -0.643406579101144
"standing" 25 -0.629858233381273
"standing" 26 -0.629096828908712
"standing" 27 -0.639297749080434
"standing" 28 -0.644795524880329
"standing" 29 -0.617791299111484
"standing" 30 -0.634194893841734
"laying" 1 -0.636194872838467
"laying" 2 -0.607522391836014
"laying" 3 -0.629876420657766
"laying" 4 -0.641445804875381
"laying" 5 -0.632999218754884
"laying" 6 -0.628836206191898
"laying" 7 -0.638884148036319
"laying" 8 -0.624126346790028
"laying" 9 -0.630470433543062
"laying" 10 -0.628386506575733
"laying" 11 -0.604981365435351
"laying" 12 -0.620780088268144
"laying" 13 -0.62758240581637
"laying" 14 -0.598320520135067
"laying" 15 -0.640679888089531
"laying" 16 -0.645993647892745
"laying" 17 -0.641129198556407
"laying" 18 -0.643553031373099
"laying" 19 -0.645490472661183
"laying" 20 -0.628355645282404
"laying" 21 -0.642625296795821
"laying" 22 -0.639973837827844
"laying" 23 -0.630875080725603
"laying" 24 -0.639223797507291
"laying" 25 -0.629871497645836
"laying" 26 -0.631701481802707
"laying" 27 -0.624337936876007
"laying" 28 -0.645039855011435
"laying" 29 -0.644397438696908
"laying" 30 -0.634203387560794
